Source,Restaurant Name,Author,Rating,Time,Review
Google,Lassiwala Dhaba,Sumathy Subramanian,"Rated 4.0 out of 5,",8 months ago,
Google,Lassiwala Dhaba,suhas kulkarni,"Rated 5.0 out of 5,",5 years ago,
Google,Lassiwala Dhaba,Anand Chandrasekar,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,karthi keyan,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Beryl Jobson Paul,"Rated 3.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,mahesh kumar,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Peter Pattern,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,BALAHARI VIGNESH,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Shree Ram,"Rated 2.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Srinivasan Jaishankar,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Pramodsen555 Pramodsen555,"Rated 5.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,TAMILVANAN M,"Rated 2.0 out of 5,",11 months ago,
Google,Lassiwala Dhaba,Praveen Siva117mt140,"Rated 1.0 out of 5,",6 months ago,
Google,Lassiwala Dhaba,GKS Prakash,"Rated 1.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Kesev Baskaran,"Rated 4.0 out of 5,",11 months ago,
Google,Lassiwala Dhaba,Manikandan Gunasekaran,"Rated 5.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Kesava Murthy,"Rated 5.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Periyakaruppiah S,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,santhosh kumar,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Suresh Suresh,"Rated 5.0 out of 5,",5 months ago,
Google,Lassiwala Dhaba,Devbrat Daga,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Muralimanohar Mudaliar,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Saravana Vell,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Bala Murugan,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Vignesh NJ,"Rated 5.0 out of 5,",5 years ago,
Google,Lassiwala Dhaba,Neeraja,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Vishal Kannan,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,kathar gani,"Rated 3.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Sindhu Krishnan,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Sohom Kumar Malik,"Rated 5.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,bhavani bhavani,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,A.P.RAMJI G,"Rated 1.0 out of 5,",2 years ago,
